worker,iter,latency_ms,error
0,0,0.6730,
0,1,0.1000,
0,2,0.1130,
0,3,0.1740,
0,4,0.1920,
0,5,0.1800,
0,6,0.1580,
0,7,0.1490,
0,8,0.1680,
0,9,0.1210,
0,10,0.1940,
0,11,0.1040,
0,12,0.0960,
0,13,0.0950,
0,14,0.2350,
0,15,0.1730,
0,16,0.1730,
0,17,0.2050,
0,18,0.0900,
0,19,0.1350,
0,20,0.0930,
0,21,0.0910,
0,22,0.0960,
0,23,0.0870,
0,24,0.0900,
0,25,0.2110,
0,26,0.6530,
0,27,0.5810,
0,28,0.1790,
0,29,0.1480,
0,30,0.1900,
0,31,0.1650,
0,32,0.1740,
0,33,0.1630,
0,34,0.2770,
0,35,0.1450,
0,36,0.0890,
0,37,0.0880,
0,38,0.0890,
0,39,0.1940,
0,40,0.1810,
0,41,0.1850,
0,42,0.1470,
0,43,0.1740,
0,44,0.1570,
0,45,0.1540,
0,46,0.0870,
0,47,0.0830,
0,48,0.0850,
0,49,0.0890,
0,50,0.0810,
0,51,0.0860,
0,52,0.0820,
0,53,0.2600,
0,54,0.3790,
0,55,0.4280,
0,56,0.4260,
0,57,0.1610,
0,58,0.0870,
0,59,0.0850,
0,60,0.0850,
0,61,0.0840,
0,62,0.1540,
0,63,0.1530,
0,64,0.1910,
0,65,0.1450,
0,66,0.1670,
0,67,0.1490,
0,68,0.1690,
0,69,0.1430,
0,70,0.2440,
0,71,0.0920,
0,72,0.0860,
0,73,0.1290,
0,74,0.1760,
0,75,0.1520,
0,76,0.1460,
0,77,0.1610,
0,78,0.1570,
0,79,0.1460,
0,80,0.1600,
0,81,0.1560,
0,82,0.4720,
0,83,0.5090,
0,84,0.1490,
0,85,0.1380,
0,86,0.0880,
0,87,0.0850,
0,88,0.0860,
0,89,0.1130,
0,90,0.1490,
0,91,0.0820,
0,92,0.1090,
0,93,0.1310,
0,94,0.1680,
0,95,0.1880,
0,96,0.1670,
0,97,0.1170,
0,98,0.0860,
0,99,0.0920,
0,100,0.0840,
0,101,0.0870,
0,102,0.0870,
0,103,0.1900,
0,104,0.1810,
0,105,0.2480,
0,106,0.3120,
0,107,0.2790,
0,108,0.4590,
0,109,0.0970,
0,110,0.1520,
0,111,0.1330,
0,112,0.1000,
0,113,0.7090,
0,114,0.0890,
0,115,0.0930,
0,116,0.0900,
0,117,0.0900,
0,118,0.1850,
0,119,0.0890,
0,120,0.0850,
0,121,0.0860,
0,122,0.1000,
