worker,iter,latency_ms,error
0,0,1.1120,
0,1,0.2850,
0,2,0.3660,
0,3,0.2770,
0,4,0.1620,
0,5,0.2000,
0,6,0.1640,
0,7,0.1780,
0,8,0.1800,
0,9,0.1570,
0,10,0.0890,
0,11,0.0900,
0,12,0.0930,
0,13,0.0960,
0,14,0.0870,
0,15,0.1360,
0,16,0.1840,
0,17,0.1660,
0,18,0.3570,
0,19,0.3430,
0,20,0.0980,
0,21,0.4430,
0,22,0.6530,
0,23,0.1850,
0,24,0.4010,
0,25,0.1680,
0,26,0.1550,
0,27,0.1680,
0,28,0.1910,
0,29,0.1510,
0,30,0.1600,
0,31,0.0960,
0,32,0.1300,
0,33,0.2690,
0,34,0.1570,
0,35,0.4710,
0,36,0.1780,
0,37,0.1550,
0,38,0.1750,
0,39,0.1650,
0,40,0.1970,
0,41,0.2730,
0,42,0.0930,
0,43,0.0950,
0,44,0.2450,
0,45,0.3180,
0,46,0.5600,
0,47,0.1030,
0,48,0.1350,
0,49,0.2170,
0,50,0.1720,
0,51,0.1560,
0,52,0.1610,
0,53,0.1780,
0,54,0.1740,
0,55,0.1720,
0,56,0.1160,
0,57,0.0910,
0,58,0.0930,
0,59,0.0920,
0,60,0.0900,
0,61,0.0900,
0,62,0.0920,
0,63,0.0920,
0,64,0.1000,
0,65,0.0930,
0,66,0.0910,
0,67,0.0910,
0,68,0.0840,
0,69,0.0890,
0,70,0.0930,
0,71,0.4000,
0,72,0.1530,
0,73,0.7910,
0,74,0.1880,
0,75,0.1820,
0,76,0.1540,
0,77,0.1570,
0,78,0.1830,
0,79,0.1570,
0,80,0.1870,
0,81,0.3260,
0,82,0.1740,
0,83,0.2470,
0,84,0.2320,
0,85,0.2050,
0,86,0.3240,
0,87,0.3330,
0,88,0.5690,
0,89,0.2420,
0,90,0.1550,
0,91,0.2910,
0,92,0.1490,
0,93,0.1580,
0,94,0.1650,
0,95,0.1580,
0,96,0.1740,
0,97,0.1550,
0,98,0.1830,
0,99,0.2460,
0,100,0.1690,
0,101,0.7010,
0,102,0.1030,
0,103,0.0940,
0,104,0.0890,
0,105,0.0920,
0,106,0.0900,
0,107,0.0950,
0,108,0.0910,
0,109,0.0900,
0,110,0.0930,
0,111,0.0910,
0,112,0.0890,
0,113,0.0930,
0,114,0.1560,
0,115,0.1730,
0,116,0.1980,
0,117,0.1800,
0,118,0.5650,
0,119,0.1690,
0,120,0.6020,
0,121,0.5360,
0,122,0.3110,
0,123,0.1750,
0,124,0.1550,
0,125,0.1940,
0,126,0.1020,
0,127,0.0910,
0,128,0.0920,
0,129,0.0900,
0,130,0.0870,
0,131,0.0860,
0,132,0.0860,
0,133,0.1010,
0,134,0.1460,
0,135,0.1170,
0,136,0.0910,
0,137,0.0880,
0,138,0.0890,
0,139,0.0890,
0,140,0.0880,
0,141,0.1110,
0,142,0.1060,
0,143,0.1870,
0,144,0.4830,
0,145,0.1260,
0,146,0.0870,
0,147,0.0860,
0,148,0.0850,
0,149,0.0870,
1,0,0.9860,
1,1,0.3100,
1,2,0.2380,
1,3,0.1890,
1,4,0.2370,
1,5,0.1700,
1,6,0.4310,
1,7,0.1760,
1,8,0.1950,
1,9,0.1920,
1,10,0.0930,
1,11,0.0910,
1,12,0.0920,
1,13,0.1290,
1,14,0.0890,
1,15,0.0940,
1,16,0.0900,
1,17,0.0910,
1,18,0.6840,
1,19,0.1560,
1,20,0.1590,
1,21,0.1620,
1,22,0.2550,
1,23,0.6740,
1,24,0.1010,
1,25,0.1220,
1,26,0.3410,
1,27,0.1590,
